sentence1	sentence2	label
Kepala Gyorgy Heizler dari unit bencana setempat mengatakan pelatih itu membawa 38 penumpang.	Kepala unit bencana lokal Gyorgy Heizler mengatakan sopir pelatih telah gagal mengindahkan lampu berhenti merah.	0
Rudder baru -baru ini adalah wakil presiden senior untuk Platform Pengembang Bisnis Evangelism.	Wakil Presiden Senior Eric Rudder sebelumnya Kepala Pengembang dan Platform Evangelism akan memimpin entitas baru.	0
Selain skema lumba -lumba, kekacauan telah memungkinkan perusahaan asing untuk terlibat dalam kerusakan pembalakan dan operasi penangkapan ikan tanpa kontrol pemantauan atau ekspor yang tepat.	Kekacauan internal telah memungkinkan perusahaan asing untuk merusak penebangan komersial dan operasi penangkapan ikan tanpa kontrol pemantauan atau ekspor yang tepat.	0
Magnarelli mengatakan Racicot membenci rezim Irak dan berharap untuk menggunakan pelatihan selama bertahun -tahun dalam perang.	Istrinya mengatakan dia 100 persen di belakang George Bush dan berharap untuk menggunakan pelatihan bertahun -tahun dalam perang.	0
Sheena Young dari Child The National Infertility Support Network berharap pedoman ini akan mengarah pada layanan yang lebih adil dan adil untuk penderita infertilitas.	Sheena Young Seorang juru bicara untuk anak National Infertility Support Network mengatakan pedoman yang diusulkan harus mengarah pada layanan yang lebih adil dan adil bagi para penderita infertilitas.	1
Saya pikir Anda akan melihat banyak pertumbuhan pekerjaan dalam dua tahun ke depan katanya menambahkan pertumbuhan bisa menggantikan pekerjaan yang hilang.	Saya pikir Anda akan melihat banyak pertumbuhan pekerjaan dalam dua tahun ke depan kata Mankiw.	0
Pencari baru menempatkan server jaringan hard drive folder pengguna Idisk dan media yang dapat dilepas di satu lokasi yang menyediakan akses Oneclick.	Alat Navigasi Finder Panthers yang Didesain ulang menempatkan server jaringan hard drive folder favorit pengguna Idisk dan media yang dapat dilepas di satu lokasi.	1
Tetapi peringatan dan jam tangan badai tropis diposting hari ini untuk bagian barat Haiti dari Republik Dominika, Bahama tenggara dan Kepulauan Turki dan Caicos.	Peringatan badai tropis ada pada hari Kamis untuk Jamaika dan Haiti dan mengawasi Republik Dominika Barat, Bahama tenggara dan Kepulauan Turki dan Caicos.	1
Seorang hakim federal di Fort Lauderdale memerintahkannya ditahan tanpa jaminan.	Zuccarini diperintahkan diadakan tanpa jaminan Rabu oleh seorang hakim federal di Fort Lauderdale Fla.	1
BMI 25 atau lebih dianggap kelebihan berat badan 30 atau lebih dianggap gemuk.	BMI antara 18,5 dan 24,9 dianggap normal di atas 25 dianggap kelebihan berat badan dan 30 atau lebih besar didefinisikan sebagai obesitas.	0
Dolar berada di 116,92 yen melawan flat yen pada sesi dan di 1,2891 melawan franc Swiss juga datar.	Dolar berada di 116,78 yen jpy hampir rata pada sesi dan di 1,2871 melawan Swiss Franc CHF turun 0,1 persen.	0
Enam bulan lalu IMF dan Argentina menabrak kesepakatan rollover utang 6,8 miliar bareminimum yang berakhir pada bulan Agustus.	Tetapi enam bulan lalu kedua belah pihak berhasil mencapai kesepakatan rollover hutang 6,8 miliar yang berakhir pada bulan Agustus.	1
Anak -anak yang terhambat cenderung pemalu dengan objek dan situasi orang baru sementara anak -anak tanpa hambatan secara spontan mendekati mereka.	Sederhananya, invisividual yang malu cenderung lebih malu -malu dengan orang baru dan situasi.	1
Saya ingin membawa orang -orang paling cantik ke gedung terindah yang katanya pada hari Minggu di dalam Concourse Grand Central.	Saya ingin membawa orang -orang tercantik ke dalam bangunan terindah yang dikatakan Tunick pada hari Minggu.	1
Poors standar luas 500 .spx turun 10,75 poin atau 1,02 persen menjadi 1039,32.	Indeks SP 500 naik 1,26 atau 0,1 persen menjadi 1039,32 setelah tenggelam 10,75 kemarin.	0
Duque akan kembali ke Bumi 27 Oktober dengan stasiun kru saat ini astronot AS Ed Lu dan kosmonot Rusia Yuri Malenchenko.	Saat ini tinggal di atas stasiun ruang angkasa adalah astronot Amerika Ed Lu dan kosmonot Rusia Yuri Malenchenko.	0
Singapura sudah menjadi mitra dagang terbesar Amerika Serikat dengan perdagangan Twoway dengan total lebih dari 34 miliar.	Meskipun negara bagian kota kecil Singapura adalah mitra dagang terbesar ke -12 Amerika Serikat dengan volume perdagangan 33,4 miliar tahun lalu.	1
Aflcio sedang menunggu hingga Oktober untuk memutuskan apakah itu akan mendukung seorang kandidat.	Aflcio mengumumkan pada hari Rabu bahwa mereka akan memutuskan pada bulan Oktober apakah akan mendukung seorang kandidat sebelum pemilihan pendahuluan.	1
Tidak ada tanggal yang ditetapkan untuk persidangan sipil atau pidana.	Tidak ada tanggal yang ditetapkan untuk kasus -kasus kriminal atau perdata, tetapi Shanley mengaku tidak bersalah.	0
Keuntungan terbesar terlihat dalam harga inventaris dan ekspor pesanan baru.	Subindeks mengukur harga inventaris pesanan baru dan ekspor meningkat.	1
Perdagangan di Loral dihentikan kemarin saham ditutup pada hari Senin di 3.01.	New York Stock Exchange menangguhkan perdagangan kemarin di Loral yang ditutup pada 3,01 Jumat.	1
Penghasilan per saham dari operasi berulang akan menjadi 13 sen hingga 14 sen.	Itu mengalahkan perkiraan pendapatan April Companis dari 8 hingga 9 sen per saham.	0
Dia berencana untuk makan malam dengan pasukan di markas militer AS Kosovos, Camp Bondsteel.	Setelah itu ia berencana untuk makan malam di Camp Bondsteel dengan pasukan A.S. ditempatkan di sana.	1
Pengecer J.C. Penney Co. Inc. JCP dan Walgreen Co. Wag Kick Off Off pada hari Senin.	Pengecer J.C. Penney Co. Inc. JCP.N dan Walgreen Co. Wag.n Kick Off pada hari Senin.	1
Jaksa mengajukan mosi yang memberi tahu Lee bahwa mereka berniat mencari hukuman mati.	Dia menambahkan bahwa jaksa penuntut akan mencari hukuman mati.	1
Tahun lalu pengadilan menguatkan program voucher sekolah Clevelands yang berkuasa 54 bahwa voucher bersifat konstitusional jika mereka memberikan orang tua pilihan sekolah agama dan sekuler.	Tahun lalu pengadilan memutuskan 54 dalam kasus Ohio bahwa voucher pemerintah bersifat konstitusional jika mereka memberi orang tua pilihan di antara berbagai sekolah agama dan sekuler.	1
Dia mengalahkan kanker testis yang telah menyebar ke paru -paru dan otaknya.	Armstrong 31 melawan kanker testis yang menyebar ke otaknya.	0
Sorkin yang menghadapi tuduhan konspirasi untuk menghalangi keadilan dan berbohong kepada dewan juri harus diadili secara terpisah.	Sorkin harus diadili secara terpisah dengan tuduhan konspirasi dan berbohong kepada dewan juri.	1
Graves melaporkan dari Albuquerque Villafranca dari Austin dan Ratcliffe dari Laredo.	Pete Slover melaporkan dari Laredo dan Gromer Jeffers dari Albuquerque.	0
Pasar chip AS diperkirakan akan menurun 2,1 persen tahun ini kemudian tumbuh 15,7 persen pada tahun 2004.	Pasar Amerika akan menurun 2,1 persen menjadi 30,6 miliar pada tahun 2003 dan kemudian tumbuh 15,7 persen menjadi 35,4 miliar pada tahun 2004.	1
Kelompok ini akan dipimpin oleh pejabat Departemen Luar Negeri John S. Wolf yang telah bertugas di Australia Vietnam Yunani dan Pakistan.	Kelompok ini akan dipimpin oleh John S. Wolf sebagai asisten sekretaris negara yang telah bertugas di Australia Vietnam Yunani dan Pakistan.	1
Komisi harus mengerjakan rincian rencana tetapi rata -rata pelanggan perumahan yang membayar 840 setahun akan mendapatkan penghematan sekitar 30 tahun.	Pelanggan perumahan rata -rata yang membayar 840 setahun untuk listrik dapat melihat penghematan 30 per tahun.	0
Perusahaan telah mengatakan berencana untuk menyatakan kembali pendapatannya untuk tahun 2000 hingga 2002.	Perusahaan telah mengumumkan pada bulan Januari bahwa mereka harus menyatakan kembali pendapatan untuk tahun 2002 2001 dan mungkin 2000.	1
Hasil dari pembuat minuman ringan No. 2 Pepsico Inc. Pep.n kemungkinan besar menjadi sorotan.	Hasil dari pembuat minuman ringan No. 2 Pepsico Inc. NYSE PEP News yang cenderung menjadi sorotan.	1
Hasilnya adalah paket keseluruhan yang akan memberikan pertumbuhan ekonomi yang signifikan bagi karyawan kami selama empat tahun ke depan.	Hasilnya adalah paket keseluruhan yang akan memberikan pertumbuhan ekonomi yang signifikan bagi karyawan kami selama beberapa tahun ke depan katanya.	1
Walmart mengatakan akan memeriksa semua pekerja domestik jutaan untuk memastikan mereka dipekerjakan secara hukum.	Ia juga mengatakan akan meninjau semua karyawan domestiknya lebih dari 1 juta untuk memastikan mereka memiliki status hukum.	1
Lagu -lagunya ditawarkan untuk 99 sen masing -masing atau 9,99 untuk sebuah album.	Perusahaan akan menawarkan lagu untuk 99 sen dan album untuk 9,95.	1
Namun pembicaraan itu diremehkan oleh PBL yang mengatakan itu hanya akan fokus pada pembelian yang lebih kecil yang segera menjadi pendapatan dan akresi arus kas.	Namun, pembicaraan telah diremehkan oleh PBL yang mengatakan hanya akan fokus pada pembelian yang lebih kecil yang segera pendapatan dan arus kasir kas.	1
Saham Comcast Class A naik 8 sen pada 30,50 dalam perdagangan pagi di pasar saham NASDAQ.	Saham naik 48 sen menjadi 30 kemarin di perdagangan pasar saham NASDAQ.	1
Sementara kadar dioksin di lingkungan naik tahun lalu, mereka telah turun 75 persen sejak tahun 1970 -an kata Caswell.	Lembaga itu mengatakan tingkat dioksin di lingkungan telah turun sebanyak 76 persen sejak tahun 1970 -an.	0
Ini terintegrasi dengan Rasional PurifyPlus dan memungkinkan pengembang untuk bekerja dalam versi yang didukung Java Visual C dan Visual Basic .NET.	IBM mengatakan produk rasional juga terintegrasi dengan Rasional PurifyPlus yang memungkinkan pengembang untuk bekerja di Java Visual C dan VisualBasic .NET.	1
The Washington Post mengatakan pesawat akan menutup shift pertamanya dan bagian dari shift kedua Senin untuk mengakomodasi penampilan presiden.	Pabrik berencana untuk mematikan shift pertamanya dan bagian -bagian dari shift kedua Senin untuk mengakomodasi penampilan Presiden Crosby.	1
Seorang mantan rekan setimnya Carlton Dotson telah didakwa dengan pembunuhan itu.	Mayatnya ditemukan 25 Juli dan mantan rekan setimnya Carlton Dotson telah didakwa dalam penembakan kematiannya.	0
Beberapa pertanyaan yang diajukan oleh audiens di forum FastPaced adalah baru bagi para kandidat.	Beberapa pertanyaan audiens juga baru bagi para kandidat.	1
Sementara itu korban kematian global mendekati 770 dengan lebih dari 8300 orang sakit sejak virus sindrom pernapasan akut parah pertama kali muncul di Cina selatan pada bulan November.	Korban tewas global dari SARS setidaknya 767 dengan lebih dari 8300 orang sakit sejak virus pertama kali muncul di Cina selatan pada bulan November.	1
Pertempuran menandai hari keempat sapuan A.S. untuk memburu pendukung rezim Saddam Husseins jatuh.	Twentyseven Irak terbunuh mendorong jumlah kematian oposisi menjadi sekitar 100 dalam operasi A.S. untuk memburu para pendukung rezim Saddam Hussein yang jatuh.	0
Para wanita kemudian melakukan ujian tindak lanjut setelah lima 12 dan 24 tahun.	Para wanita memiliki ujian tindak lanjut pada tahun 197475 198081 dan 199293 tetapi tidak ditanya tentang stres lagi.	0
The Embraer Jets dijadwalkan akan dikirimkan pada bulan September 2006.	Pesawat Bombardier dan Embraer akan dikirim ke Airways A.S. pada September 2006.	0
Bertentangan dengan manajemen PeopleSoft apa yang Anda yakini bahwa Oracle bermaksud untuk sepenuhnya mendukung pelanggan dan produk PeopleSoft selama bertahun -tahun yang akan datang.	Ellison mengatakan bahwa bertentangan dengan pertikaian PeopleSoft Management Oracle bermaksud untuk sepenuhnya mendukung pelanggan dan produk PeopleSoft selama bertahun -tahun yang akan datang.	1
Intelijen aplikasi akan dimasukkan sebagai bagian dari aplikasi SmartDefense perusahaan yang disertakan dengan Firewall 1.	Fitur intelijen aplikasi baru akan tersedia 3 Juni dan disertakan dengan produk SmartDefense yang dilengkapi dengan Firewall1.	0
American Masters Arthur Miller Elia Kazan dan The Blacklist tidak ada tanpa Sin Wed.	Perhatikan subpos dari perumpamaan mengerikan ini dalam seri American Masters Arthur Miller Elia Kazan dan Blacklist tidak ada tanpa dosa.	0
Downtime yang akan berlangsung pada bulan Mei dan Juni diperkirakan akan memangkas produksi 60 juta menjadi 70 juta kaki papan.	Downtime diperkirakan akan mengambil 60 juta hingga 70 juta kaki dari sistem Companis.	1
Pada 3 Juli Troy diharapkan dijatuhi hukuman penjara seumur hidup tanpa pembebasan bersyarat.	Troy menghadapi hukuman penjara seumur hidup tanpa pembebasan bersyarat pada hukumannya 30 Juli.	1
University of Michigan merilis proses penerimaan sarjana baru Kamis menjatuhkan sistem poin Mahkamah Agung A.S. mendapati tidak konstitusional pada bulan Juni.	University of Michigan hari ini merilis kebijakan penerimaan baru setelah Mahkamah Agung A.S. menghitung pada bulan Juni seperti yang sebelumnya diakui mahasiswa sarjana.	1
Prosesor diumumkan di San Jose di Intel Developer Forum.	Prosesor baru ini diluncurkan di Intel Developer Forum 2003 di San Jose Calif.	1
Departemen Kehakiman mengajukan gugatan pada hari Kamis terhadap negara bagian Mississippi karena gagal mengakhiri apa yang oleh pejabat federal menyebut penyalahgunaan remaja yang mengganggu dan kondisi yang tidak masuk akal di dua fasilitas Staterun.	Departemen Kehakiman mengajukan gugatan hak -hak sipil pada hari Kamis terhadap negara bagian Mississippi yang menuduh penyalahgunaan pelanggar remaja di dua fasilitas Staterun.	0
Dikatakan bahwa kerusakan pada sayap menyediakan jalur untuk gas panas untuk menembus baju besi termal kapal selama Columbias Illfated Reentry.	Dokumen itu mengatakan kerusakan pada sayap menyediakan jalur untuk gas panas untuk menembus baju besi termal Columbias selama masuknya kembali yang fatal.	1
Juga mendemonstrasikan kekuatan boxoffice _ dan mendapatkan tujuh nominasi Tony _ adalah kebangkitan kuat drama keluarga Eugene Oneills, perjalanan harian ke malam hari.	Juga menunjukkan kekuatan BoxOffice dan mendapatkan tujuh nominasi Tony adalah kebangkitan kuat drama keluarga Eugene Oneills, perjalanan hari -hari panjang ke malam hari.	1
Tingkat tertinggi akan mencapai 4,45 persen untuk semua penduduk dengan pendapatan kena pajak di atas 500000.	Untuk penduduk dengan pendapatan di atas 500.000 tarif pajak pendapatan akan meningkat menjadi 4,45 persen.	1
Tetapi Sekretaris Negara Colin Powell menepis kemungkinan ini pada hari Rabu.	Sekretaris Negara Colin Powell pekan lalu mengesampingkan perjanjian non -agresi.	1
Thomas dan Tauzin mengatakan seperti halnya banyak dokter bahwa pemerintahan Bush memiliki kekuatan untuk memperbaiki beberapa kekurangan itu.	Seperti banyak dokter, Tuan Thomas dan Tuan Tauzin mengatakan bahwa pemerintahan Bush memiliki kekuatan untuk memperbaiki beberapa kekurangan itu.	1
Berdasarkan pengalaman di tempat lain diperlukan hingga dua tahun sebelum pemilihan rutin diadakan, ia menambahkan.	Pejabat militer AS mengatakan dapat memakan waktu hingga dua tahun sebelum pemilihan rutin diadakan berdasarkan pengalaman di tempat lain di dunia.	1
Hasilnya muncul dalam edisi Januari edisi kanker, jurnal American Cancer Society yang diterbitkan secara online hari ini.	Hasilnya muncul dalam edisi Januari Cancer An American Cancer Society News Web Site Journal yang diterbitkan secara online Senin.	1
Perawatan bioteknologi pertama untuk asma penyempitan saluran udara yang mempengaruhi jutaan orang di seluruh dunia menerima persetujuan dari Food and Drug Administration AS kemarin.	Perawatan bioteknologi pertama untuk asma penyempitan saluran udara yang mempengaruhi jutaan orang Amerika menerima persetujuan dari Food and Drug Administration A.S. pada hari Jumat.	1
Para delegasi mengatakan mengumpulkan dan mendistribusikan dana telah dipersulit oleh penumpasan AS atas rekening bank yayasan amal Jihad dari organisasi terrorelasi dan transfer uang.	Orang -orang Bin Ladens menunjukkan bahwa mengumpulkan dan mendistribusikan dana telah dipersulit oleh penumpasan AS pada rekening bank yayasan amal Jihad dari organisasi terrorelasi dan transfer uang.	1
Agen -agen FBI menangkap mantan mitra perusahaan akuntansi Big Four Ernst Young Erny.ul atas tuduhan pidana untuk menghalangi penyelidikan federal yang dikatakan oleh para pejabat AS, Kamis.	Seorang mantan mitra perusahaan akuntansi Ernst Young kemarin ditangkap oleh agen FBI di AS dengan tuduhan menghalangi penyelidikan federal.	1
Kelly akan memulai pertemuan dengan Wakil Menteri Luar Negeri Rusia Alexander Losyukov di Washington pada hari Senin.	Wakil Menteri Luar Negeri Rusia Alexander Losyukov mengatakan di Moskow Selasa, tanggal perusahaan akan ditetapkan pada akhir bulan ini.	0
Penembakan terbaru yang terhubung dengan Spree adalah penembakan 11 November di Hamilton Central Elementary School di Obetz sekitar 3 km dari jalan bebas hambatan.	Penembakan lain yang terhubung dengan Spree terjadi 11 November di Hamilton Central Elementary di Obetz sekitar dua mil dari jalan bebas hambatan.	1
Sanitasi buruk ... mungkin ada tipus dan kolera katanya.	Sanitasi adalah air minum yang buruk umumnya tertinggal...Mungkin ada tipus dan kolera.	0
Dow Jones Industrial Average berakhir 128 poin atau 1,4 pada 9073 sementara NASDAQ turun 34 poin atau 2,1 menjadi 1610.	Dalam perdagangan awal Dow Jones Industrial Average naik 3,90 atau 0,04 persen pada 9113,75 setelah memperoleh 36,90 pada hari Selasa.	0
PDC juga hampir pasti akan mengipasi api spekulasi tentang rilis Longhorns.	PDC juga hampir pasti akan menyalakan kembali spekulasi tentang tanggal rilis produk baru Microsoft.	1
Penjualan Sosok yang diawasi dengan cermat ketika barometer kesehatannya naik 5 persen, bukannya jatuh seperti yang diprediksi oleh banyak pakar industri.	Ini juga mengungkapkan bahwa penjualan angka yang diawasi dengan ketat oleh analis sebagai barometer kesehatannya secara signifikan lebih tinggi dari yang diharapkan oleh para pakar industri.	1
NEC melempar perangkat lunak dan perangkat lunak manajemen nirkabelnya ke berbagai industri termasuk perawatan kesehatan dan keramahtamahan.	NECS melempar perangkat lunak dan perangkat lunak manajemen nirkabel ke berbagai industri termasuk perawatan kesehatan dan keramahtamahan yang dikatakan juru bicara perusahaan.	1
Elena Slough dianggap sebagai orang tertua bangsa dan orang tertua ketiga di dunia meninggal Minggu pagi.	Elena Slough dianggap sebagai orang tertua di AS dan orang tertua ketiga di dunia telah meninggal.	1
Kami menyatakan perang terhadap pelecehan seksual dan kekerasan seksual.	Kami telah menyatakan perang terhadap kekerasan seksual dan pelecehan seksual Rosa mengatakan.	1
Indeks komposit NASDAQ yang ditranslakisikan teknologi ditambahkan 1,92 poin atau 0,12 persen pada 1647,94.	Indeks Komposit Nasdaq yang ditranslakisikan.	0
Dolar berada di 117,85 yen terhadap mata uang Jepang naik 0,1 persen.	Terhadap franc Swiss, dolar berada di 1,3289 franc naik 0,5 persen pada hari itu.	0
Indeks Standar Poors 500 .spx yang lebih luas menyerah 11,91 poin atau 1,19 persen pada 986,60.	Indeks komposit NASDAQ yang ditranslakisikan teknologi turun 25,36 poin atau 1,53 persen pada 1628,26.	0
El Watan, sebuah surat kabar Aljazair melaporkan bahwa para penculik itu dengan keras menolak serangan Angkatan Darat pagi ini menembakkan senapan Kalashnikov.	El Watan Seorang surat kabar Aljazair melaporkan bahwa para penculik melakukan perlawanan sengit selama serangan Angkatan Darat yang menembakkan senapan Kalashnikov.	1
Tetapi profil grafik berita Mitsubishi Tokyo JP8306 turun 3000 yen atau 0,65 persen menjadi 456.000 yen.	Profil grafik berita Sumitomo Mitsui JP8316 turun 2,5 persen pada 198000 yen.	0
Hanya berurusan dengan hak -hak membual di sini yang menang dan yang kalah.	Mengesampingkan biaya pengacara berurusan dengan hak -hak membual tentang siapa yang menang dan yang kehilangan kata Gammerman.	0
Saham Hartford Rose 2,88 menjadi 46,50 di New York Stock Exchange Trading.	Saham Hartford naik 2,28 atau 5,2 persen menjadi 45,90 dalam perdagangan tengah hari.	1
Palm OS Smart Phone ini adalah produk terakhir yang akan dirilis perusahaan sebelum menjadi bagian dari Palmone.	Ini hampir pasti merupakan kuartal penuh terakhir sebelum perusahaan menjadi bagian dari Palm.	0
Dan mereka pikir protein mungkin terlibat dalam penyebaran bentuk kanker lainnya.	Mereka peneliti mengatakan penelitian ini bisa relevan dengan bentuk kanker lainnya.	0
Tokyo Electric Power Co. ASIAS Perusahaan listrik terbesar memenangkan persetujuan untuk memulai kembali yang pertama dari 17 reaktor nuklir yang ditutup setelah mereka mengakui memalsukan laporan inspeksi.	Tokyo Electric Power Co. ASIAS Power Company terbesar memulai kembali 17 reaktor nuklir pertama yang ditutup setelah mengakui itu memalsukan laporan inspeksi.	1
Biaya kuliah di perguruan tinggi swasta empat tahun rata -rata tahun 19710 tahun ini naik 6 persen dari tahun 2002.	Untuk tahun kuliah tahun akademik saat ini di perguruan tinggi negeri rata -rata 4694 naik hampir 600 dari tahun sebelumnya.	1
Lampu keamanan juga telah dipasang dan polisi telah menyapu lahan untuk perangkap booby.	Lampu keamanan juga telah dipasang di gudang di dekat gerbang depan.	0
Satu -satunya Republikan yang diumumkan untuk menggantikan Davis adalah Rep. Darrell Issa dari Vista yang telah menghabiskan 1,71 juta uangnya sendiri untuk memaksa penarikan kembali.	Sejauh ini satu -satunya kandidat partai besar yang dinyatakan adalah Rep. Darrell Issa seorang Republikan yang telah menghabiskan 1,5 juta uangnya sendiri untuk mendanai penarikan kembali.	1
Dia mengatakan bahwa dengan rencana perdamaian yang terbalik di AS atau peta jalan dalam koma, serangan itu dapat dengan mudah memperluas konflik melalui wilayah tersebut.	Mr Jouejati mengatakan bahwa dengan peta jalan yang terbalik dalam keadaan koma, serangan itu dapat dengan mudah melebar melalui wilayah tersebut.	1
Serangan yang berhasil dapat diluncurkan dalam segala jenis dokumen yang mendukung VBA termasuk Microsoft Word Excel atau PowerPoint.	Tetapi ini bisa terjadi dengan format dokumen apa pun yang mendukung VBA termasuk Word Excel atau PowerPoint.	1
Pejabat di Brandeis mengatakan ini adalah waktu yang sangat memusatkan perhatian pada kampus.	Ini adalah waktu yang sangat memilukan bagi seluruh komunitas Universitas Brandeis.	1
Jika itu bukan seorang Demokrat, saya harus berada pada pertemuan yang salah, katanya.	Dan jika itu bukan seorang Demokrat maka saya harus berada dalam pertemuan yang salah, dia berkata dengan tepuk tangan meriah dari para pendukungnya.	0
Kurang dari selusin agen FBI dikirim untuk mengamankan dan menganalisis bukti.	Kurang dari selusin agen FBI akan dikirim ke Irak untuk mengamankan dan menganalisis bukti pemboman.	1
Mereka yang hanya menjalani operasi rata -rata 46 bulan.	Bagi mereka yang menjalani operasi sendirian, kelangsungan hidup rata -rata adalah 41 bulan.	1
Malam ini seorang juru bicara Kementerian Luar Negeri Russias mengatakan kementerian itu dapat mengeluarkan pernyataan pada hari Kamis yang mengklarifikasi posisi Russias tentang kerja sama dengan upaya nuklirenergi Irans.	Malam ini seorang juru bicara Kementerian Luar Negeri Rusia mengatakan akan mengeluarkan pernyataan pada hari Kamis yang mengklarifikasi posisi Russias tentang membantu upaya nuklirenergi Irans.	1
Sehari sebelumnya sebuah komite yang ditunjuk oleh Presiden Reformis Mohammad Khatami menyerukan penyelidikan yudisial independen atas kematian Kazemis.	Sehari sebelumnya sebuah komite yang ditunjuk oleh Presiden Mohammad Khatami telah menyerukan penyelidikan independen atas kematian jurnalis foto 54 tahun.	1
Suite ini dilengkapi dengan perangkat lunak presentasi spreadsheet pengolah kata dan komponen lainnya sambil melanjutkan tradisi menggunakan format file berbasis XML.	Suite ini mencakup aplikasi presentasi spreadsheet pengolah kata yang analog dengan PowerPoint dan komponen lain yang semuanya dibangun di sekitar format file XML.	1
Di hilir di Gunung Vernon, Sungai Skagit diperkirakan akan melengkung pada 36 kaki 8 kaki di atas panggung banjir malam ini, kata Burke.	Skagit itu diperkirakan akan lambang pada malam hari di 38 kaki di Gunung Vernon 10 kaki di atas tahap banjir, kata Layanan Cuaca Nasional.	1
Rata -rata industri Bluechip Dow Jones memudahkan 44 poin atau 0,47 persen menjadi 9543 setelah mencetak lima sesi naik berturut -turut.	Dow Jones Industrial Average .DJI naik 18,25 poin atau 0,19 persen menjadi 9586,71.	0
Indeks komposit NASDAQ beringsut naik 1,28 atau 0,1 persen menjadi 1766,60 setelah kemenangan mingguan 3,7 persen.	Indeks Komposit Nasdaq yang ditranslakisikan Teknologi tidak aktif 24,44 poin atau 1,39 persen pada 1739,87.	0
Dokter yang melanggar larangan itu akan dikenakan denda dan hingga dua tahun penjara.	Dokter yang melakukan prosedur akan menghadapi dua tahun penjara di bawah RUU itu.	1
Poors Standar 500 Indeks Saham berjangka turun 4,40 poin menjadi 983,50 sementara NASDAQ Futures turun 6,5 poin menjadi 1206,50.	Indeks Standar Poors 500 naik 1,75 poin atau 0,18 persen menjadi 977,68.	0
