amr1
"# ::id 0
# ::annotator indoamrbart-mbart-fted
# ::snt ""Amrozi menuduh saudaranya, yang ia sebut """"saksi"""", dengan sengaja mendistorsi buktinya.""
(z0 / menu-01
                                      :op1 (z14 / pemantauan-01)
                                      :op2 (z15 / ekspor-01)
                                      :mod (z16 / tepat)))))"
"# ::id 18
# ::annotator indoamrbart-mbart-fted
# ::snt Magnarelli mengatakan Racicot membenci rezim Irak dan berharap untuk menggunakan pelatihan selama bertahun -tahun dalam perang.
(z0 / mengatakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Racicot""))
    :ARG1 (z3 / dan
              :op1 (z4 / benci-01
                       :ARG0 (z5 / orang
                                 :wiki -
                                 :name (z6 / nama
                                           :op1 ""Racicot""))
                       :ARG1 (z7 / rezim
                                 :mod (z8 / negara
                                          :wiki ""Iraq""
                                          :name (z9 / nama
                                                    :op1 ""Iraq""))))
              :op2 (z10 / berharap-01
                        :ARG0 z5
                        :ARG1 (z11 / menggunakan-01
                                   :ARG0 z5
                                   :ARG1 (z12 / kereta)
                                   :time (z13 / perang)
                                   :duration (z14 / beberapa
                                                  :op1 (z15 / kuantitas-sementara
                                                            :unit (z16 / tahun)))))))"
"# ::id 19
# ::annotator indoamrbart-mbart-fted
# ::snt ""Sheena Young dari Child, jaringan dukungan infertilitas nasional, berharap pedoman itu akan mengarah pada layanan yang lebih """"adil dan adil"""" untuk penderita infertilitas.""
(z0 / berharap-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Young""
                        :op2 ""Child"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG1 (z4 / jaringan
                                     :wiki -
                                     :name (z5 / nama
                                               :op1 ""nasional""
                                               :op2 ""dukungan""
                                               :op3 ""infertilitas""))
                           :ARG2 (z6 / jaringan)))
    :ARG1 (z7 / rujuk-01
              :ARG0 (z8 / pedoman
                        :mod (z9 / itu))
              :ARG1-of (z10 / memiliki-derajat-91
                            :ARG2 (z11 / dan
                                       :op1 (z12 / adil-01)
                                       :op2 (z13 / adil-01))
                            :ARG3 (z14 / lebih))
              :beneficiary (z15 / orang
                                :ARG0-of (z16 / memiliki-peran-rel-91
                                              :ARG2 (z17 / penderita
                                                         :mod (z18 / infertilitas))))))"
"# ::id 20
# ::annotator indoamrbart-mbart-fted
# ::snt """"""Saya pikir Anda akan melihat banyak pertumbuhan pekerjaan dalam dua tahun ke depan,"""" katanya, menambahkan pertumbuhan bisa menggantikan pekerjaan yang hilang.""
(z0 / ujar-01
    :ARG0 (z1 / dia)
    :ARG1 (z2 / pikir-01
              :ARG0 (z3 / anda)
              :ARG1 (z4 / lihat-01
                        :ARG0 z3
                        :ARG1 (z5 / bertambah-01
                                  :ARG1 (z6 / pekerjaan)
                                  :quant (z7 / banyak))
                        :time (z8 / setelah
                                  :op1 (z9 / sekarang
                                           :quant (z10 / kuantitas-sementara
                                                       :unit (z11 / tahun))))))
    :manner (z12 / menambahkan-01
                 :ARG0 z1
                 :ARG1 (z13 / mungkin-01
                            :ARG1 (z14 / menggantikan-01
                                       :ARG0 (z15 / bertambah-01)
                                       :ARG1 (z16 / pekerjaan
                                                  :ARG1 (z17 / hilang-01))))))"
"# ::id 21
# ::annotator indoamrbart-mbart-fted
# ::snt Pencari baru menempatkan folder pengguna, hard drive, server jaringan, idisk dan media yang dapat dilepas di satu lokasi, menyediakan akses satu klik.
(z0 / dan
    :op1 (z1 / letakkan-01
             :ARG0 (z2 / orang
                       :ARG0-of (z3 / mencari-01)
                       :mod (z4 / baru))
             :ARG1-of (z5 / baru-01))
    :op2 (z6 / lepas-01
             :ARG0 (z7 / orang
                       :ARG0-of (z8 / mencari-01))
             :ARG1 (z9 / dan
                       :op1 (z10 / harddrive)
                       :op2 (z11 / server
                                 :mod (z12 / jaringan))
                       :op3 (z13 / idisk))
             :location (z14 / lokasi))
    :op3 (z15 / memberi-01
              :ARG0 z2
              :ARG1 (z16 / akses
                         :mod (z17 / klik))))"
"# ::id 22
# ::annotator indoamrbart-mbart-fted
# ::snt Tetapi peringatan dan jam tangan badai tropis diposting hari ini untuk Haiti, bagian barat Republik Dominika, Bahama tenggara dan Kepulauan Turki dan Caicos.
(z0 / pos-01
    :ARG0 (z1 / negara
              :wiki ""Haiti""
              :name (z2 / nama
                        :op1 ""Haiti""))
    :ARG1 (z3 / dan
              :op1 (z4 / barat
                       :part (z5 / negara
                                 :wiki ""RepublicofDominika""
                                 :name (z6 / nama
                                           :op1 ""Republic""
                                           :op2 ""Dominika"")))
              :op2 (z7 / tenggara
                       :part (z8 / negara
                                 :wiki ""Bahama""
                                 :name (z9 / nama
                                           :op1 ""Bahama"")))
              :op3 (z10 / tenggara
                        :part (z11 / negara
                                   :wiki ""Turkey""
                                   :name (z12 / nama
                                              :op1 ""Turkey"")))
              :op4 (z13 / pulau
                        :wiki ""Caicos(P3000 / Pacific)""
                        :name (z14 / nama
                                   :op1 ""Caicos"")))
    :time (z15 / hari
               :mod (z16 / ini)))"
"# ::id 23
# ::annotator indoamrbart-mbart-fted
# ::snt Seorang hakim federal di Fort Lauderdale memerintahkannya ditahan tanpa jaminan.
(z0 / urutan-01
    :ARG0 (z1 / hakim
              :mod (z2 / federal)
              :location (z3 / kota
                            :wiki ""FortLauderdale,Florida""
                            :name (z4 / nama
                                      :op1 ""Fort""
                                      :op2 ""Lauderdale"")))
    :ARG1 (z5 / tahan-01
              :ARG1 (z6 / orang
                        :ARG0-of (z7 / memiliki-peran-org-91
                                     :ARG2 (z8 / hakim))))
    :manner (z9 / jaminan
                :polarity -))"
"# ::id 24
# ::annotator indoamrbart-mbart-fted
# ::snt BMI 25 atau lebih dianggap kelebihan berat badan;30 atau di atas dianggap obesitas.
(z0 / dan
    :op1 (z1 / hitung-01
             :ARG1 (z2 / kelebihan
                       :mod (z3 / berat))
             :ARG2 (z4 / atau
                       :op1 (z5 / entitas-laju-91
                                :ARG2 (z6 / kuantitas-massa
                                          :unit (z7 / ons)))
                       :op2 (z8 / entitas-laju-91
                                :ARG2 (z9 / kuantitas-massa
                                          :unit (z10 / ons)))))
    :op2 (z11 / hitung-01
              :ARG1 (z12 / obesitas
                         :domain (z13 / orang
                                      :ARG1-of (z14 / memiliki-peran-rel-91
                                                    :ARG2 (z15 / ibu))))))"
"# ::id 25
# ::annotator indoamrbart-mbart-fted
# ::snt Dolar berada di 116,92 yen melawan yen, datar pada sesi, dan di 1.2891 melawan Franc Swiss, juga datar.
(z0 / dan
    :op1 (z1 / datar-01
             :ARG1 (z2 / dolar)
             :time (z3 / entitas-tanggal
                       :dayperiod (z4 / sesi)))
    :op2 (z5 / datar-01
             :ARG1 (z6 / yen)
             :time (z7 / entitas-tanggal))
    :op3 (z8 / datar-01
             :ARG1 (z9 / Franc
                       :mod (z10 / Swiss))
             :time (z11 / entitas-tanggal)))"
"# ::id 26
# ::annotator indoamrbart-mbart-fted
# ::snt Enam bulan lalu, IMF dan Argentina mencapai kesepakatan rollover utang $ 6,8 miliar minimum yang berakhir pada bulan Agustus.
(z0 / mencapai-01
    :ARG0 (z1 / dan
              :op1 (z2 / organisasi
                       :wiki ""InternationalMonetaryFund""
                       :name (z3 / nama
                                 :op1 ""IMF""))
              :op2 (z4 / negara
                       :wiki ""Argentina""
                       :name (z5 / nama
                                 :op1 ""Argentina"")))
    :ARG1 (z6 / setuju-01
              :ARG1 (z7 / rollover
                        :mod (z8 / utang
                                 :mod (z9 / minimum)))
              :time (z10 / berakhir-01
                         :ARG1 (z11 / entitas-tanggal)))
    :time (z12 / sebelum
               :op1 (z13 / sekarang)
               :quant (z14 / kuantitas-sementara
                           :unit (z15 / bulan))))"
"# ::id 27
# ::annotator indoamrbart-mbart-fted
# ::snt Anak -anak yang terhambat cenderung pemalu dengan orang baru, benda, dan situasi, sementara anak-anak tanpa hambatan secara spontan mendekati mereka.
(z0 / dan
    :op1 (z1 / cenderung-01
             :ARG0 (z2 / anak
                       :ARG1 (z3 / anak
                                 :ARG1 (z4 / terhambat)))
             :ARG2 (z5 / pemalu
                       :ARG1-of (z7 / baru-01)
                       :op1 (z9 / benda)
                       :op2 (z10 / situasi)))
    :op2 (z11 / ajak-01
              :ARG0 (z12 / anak
                         :mod (z13 / tanpa-hambatan))
              :ARG1 z12
              :manner (z14 / spontan)))"
"# ::id 28
# ::annotator indoamrbart-mbart-fted
# ::snt Saya ingin membawa orang-orang paling cantik ke gedung terindah, katanya pada hari Minggu di dalam concourse Grand Central.
(z0 / katakan-01
    :ARG0 (z1 / dia)
    :ARG1 (z2 / ingin-01
              :ARG0 z1
              :ARG1 (z3 / bawa-01
                        :ARG0 z1
                        :ARG1 (z4 / orang
                                  :ARG1-of (z5 / memiliki-derajat-91
                                               :ARG2 (z6 / cantik-01)
                                               :ARG3 (z7 / sebagian-besar)))
                        :destination (z8 / bangunan
                                         :wiki -
                                         :name (z9 / nama
                                                   :op1 ""Grand""
                                                   :op2 ""Central"")
                                         :mod (z10 / terindah)))
              :time (z11 / entitas-tanggal
                         :weekday (z12 / minggu))
              :location (z13 / concourse
                             :mod (z14 / grand))))"
"# ::id 29
# ::annotator indoamrbart-mbart-fted
# ::snt 500 <.spx> standar yang luas & miskin turun 10,75 poin, atau 1,02 persen, menjadi 1.039,32.
(z0 / turun-01
    :ARG0 (z1 / standar
              :mod (z2 / luas)
              :mod (z3 / miskin))
    :ARG4 (z4 / atau
              :op1 (z5 / entitas-persentase)
              :op2 (z6 / entitas-persentase))
    :time (z7 / entitas-tanggal))"
"# ::id 30
# ::annotator indoamrbart-mbart-fted
# ::snt Duque akan kembali ke Bumi 27 Oktober dengan kru stasiun saat ini, astronot AS Ed Lu dan kosmonot Rusia Yuri Malenchenko.
(z0 / kembali-01
    :ARG1 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Yuri""
                        :op2 ""Malenchenko"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG2 (z4 / astronot)))
    :destination (z5 / planet
                     :wiki ""Earth""
                     :name (z6 / nama
                               :op1 ""Bumi""))
    :time (z7 / entitas-tanggal)
    :accompanier (z8 / dan
                     :op1 (z9 / kru
                              :mod (z10 / stasiun)
                              :time (z11 / saat-ini))
                     :op2 (z12 / astronot
                               :wiki -
                               :name (z13 / nama
                                          :op1 ""AS""
                                          :op2 ""Ed""
                                          :op3 ""Lu""))
                     :op3 (z14 / kosmonot
                               :mod (z15 / negara
                                         :wiki ""Russia""
                                         :name (z16 / nama
                                                    :op1 ""Russia"")))))"
"# ::id 31
# ::annotator indoamrbart-mbart-fted
# ::snt Singapura sudah menjadi mitra dagang terbesar ke-12 Amerika Serikat, dengan perdagangan dua arah dengan total lebih dari $ 34 miliar.
(z0 / perdagangan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Singapura""))
    :ARG1 (z3 / kuantitas-moneter
              :unit (z4 / dolar))
    :manner (z5 / arah
                :mod (z6 / dua))
    :ARG1-of (z7 / memiliki-derajat-91
                 :ARG2 (z8 / besar)
                 :ARG3 (z9 / sebagian-besar)
                 :ARG5 (z10 / negara
                            :wiki ""UnitedStates""
                            :name (z11 / nama
                                       :op1 ""United""
                                       :op2 ""States""))))"
"# ::id 32
# ::annotator indoamrbart-mbart-fted
# ::snt AFL-CIO sedang menunggu hingga Oktober untuk memutuskan apakah itu akan mendukung seorang kandidat.
(z0 / menunggu-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""AAA"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG2 (z4 / sekretaris
                                     :mod (z5 / eksekutif))))
    :time (z6 / sampai
              :op1 (z7 / entitas-tanggal))
    :purpose (z8 / memutuskan-01
                 :ARG0 z1
                 :ARG1-of (z9 / nikmat-01
                              :ARG0 z1
                              :ARG1 (z10 / calon))))"
"# ::id 33
# ::annotator indoamrbart-mbart-fted
# ::snt Tidak ada tanggal yang ditetapkan untuk persidangan sipil atau pidana.
(z0 / tentu-01
    :ARG1 (z1 / atau
              :op1 (z2 / coba-01
                       :mod (z3 / warga))
              :op2 (z4 / pidana-01))
    :time (z5 / ada))"
"# ::id 34
# ::annotator indoamrbart-mbart-fted
# ::snt Keuntungan terbesar terlihat dalam harga, pesanan baru, inventaris, dan ekspor.
(z0 / dan
    :op1 (z1 / harga-01)
    :op2 (z2 / pesan-01
             :ARG1 (z3 / baru-01))
    :op3 (z4 / inventaris)
    :op4 (z5 / ekspor-01))"
"# ::id 35
# ::annotator indoamrbart-mbart-fted
# ::snt Perdagangan di Loral dihentikan kemarin;Saham ditutup pada hari Senin di $ 3,01.
(z0 / dan
    :op1 (z1 / hentikan-01
             :ARG1 (z2 / perdagangan-01
                       :location (z3 / kota
                                     :wiki ""Loral,Louisiana""
                                     :name (z4 / nama
                                               :op1 ""Loral"")))
             :time (z5 / kemarin))
    :op2 (z6 / tutup-01
             :ARG1 (z7 / saham)
             :time (z8 / entitas-tanggal
                       :weekday (z9 / senin))
             :location (z10 / entitas-laju-91
                            :ARG4 (z11 / kuantitas-moneter
                                       :unit (z12 / dolar)))))"
"# ::id 36
# ::annotator indoamrbart-mbart-fted
# ::snt Penghasilan per saham dari operasi berulang akan menjadi 13 sen hingga 14 sen.
(z0 / menjadi-01
    :ARG1 (z1 / penghasilan
              :mod (z2 / persaham)
              :source (z3 / operasi
                          :mod (z4 / berulang)))
    :ARG2 (z5 / entitas-laju-91
              :ARG2 (z6 / kuantitas-moneter
                        :unit (z7 / sen)))
    :ARG3 (z8 / entitas-laju-91
              :ARG2 (z9 / kuantitas-moneter
                        :unit (z10 / sen))))"
"# ::id 37
# ::annotator indoamrbart-mbart-fted
# ::snt Dia berencana untuk makan malam dengan pasukan di markas militer AS Kosovo, Camp Bondsteel.
(z0 / beren-of
    :ARG0 (z2 / aku)
    :ARG1 (z3 / makan-01
              :ARG0 (z4 / pasukan
                        :location (z5 / markas
                                      :mod (z6 / militer
                                               :mod (z7 / negara
                                                        :wiki ""UnitedStates""
                                                        :name (z8 / nama
                                                                  :op1 ""AS""))))
                        :location (z9 / kota
                                      :wiki ""Kosovo""
                                      :name (z10 / nama
                                                 :op1 ""Kosovo"")))
              :time (z11 / entitas-tanggal
                         :dayperiod (z12 / malam))))"
"# ::id 38
# ::annotator indoamrbart-mbart-fted
# ::snt Pengecer J.C. Penney Co. Inc. (JCP) dan Walgreen Co. (WAG) memulai pada hari Senin.
(z0 / mulai-01
    :ARG0 (z1 / dan
              :op1 (z2 / perusahaan
                       :wiki -
                       :name (z3 / nama
                                 :op1 ""JCP""
                                 :op2 ""J.C.""
                                 :op3 ""Penney""
                                 :op4 ""Co.""
                                 :op5 ""Inc.""))
              :op2 (z4 / perusahaan
                       :wiki -
                       :name (z5 / nama
                                 :op1 ""Walgreen""
                                 :op2 ""Co.""
                                 :op3 ""(W3000 / WAG""))))"
"# ::id 39
# ::annotator indoamrbart-mbart-fted
# ::snt Jaksa mengajukan mosi yang memberi tahu Lee bahwa mereka berniat mencari hukuman mati.
(z0 / coba-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Jaksa""))
    :ARG1 (z3 / mosi)
    :purpose (z4 / katakan-01
                 :ARG0 (z5 / orang
                           :wiki -
                           :name (z6 / nama
                                     :op1 ""Lee""))
                 :ARG1 (z7 / pikirkan-01
                           :ARG0 (z8 / mereka)
                           :ARG1 (z9 / mencari-01
                                     :ARG0 z8
                                     :ARG1 (z10 / hukuman
                                                :mod (z11 / mati))))))"
"# ::id 40
# ::annotator indoamrbart-mbart-fted
# ::snt Tahun lalu pengadilan menguatkan program voucher sekolah Cleveland, memutuskan 5-4 bahwa voucher bersifat konstitusional jika mereka memberikan orang tua pilihan sekolah agama dan sekuler.
(z0 / dan
    :op1 (z1 / menguatkan-01
             :ARG0 (z2 / pengadilan)
             :ARG1 (z3 / program
                       :mod (z4 / voucher)
                       :poss (z5 / sekolah
                                 :wiki -
                                 :name (z6 / nama
                                           :op1 ""Cleveland""))))
    :op2 (z7 / putus-01
             :ARG0 (z8 / orang
                       :ARG0-of (z9 / memiliki-peran-org-91
                                    :ARG2 (z10 / orang-tua)))
             :ARG1 (z11 / konstitusional
                        :domain (z12 / voucher)
                        :condition (z13 / memberi-01
                                        :ARG0 z8
                                        :ARG1 (z14 / pilihan
                                                   :mod (z15 / sekolah
                                                             :mod (z16 / agama)))
                                        :ARG2 (z17 / orang
                                                   :ARG0-of (z18 / memiliki-peran-rel-91
                                                                 :ARG2 (z19 / orang-tua)))
                                        :location (z20 / sekolah
